"Index","Ensembl.ID","Gene.name"
171,"ENSG00000089116","LHX5"
172,"ENSG00000036448","MYOM2"
173,"ENSG00000234055","AL158151.2"
174,"ENSG00000267552","AC093227.2"
175,"ENSG00000224695","MTND6P7"
176,"ENSG00000106038","EVX1"
177,"ENSG00000255189","GLYATL1P1"
178,"ENSG00000164114","MAP9"
179,"ENSG00000238698","RNU7-147P"
180,"ENSG00000199836","RNU1-47P"
181,"ENSG00000149089","APIP"
183,"ENSG00000224570","AC097063.1"
184,"ENSG00000179632","MAF1"
185,"ENSG00000271677","Z82195.1"
186,"ENSG00000114861","FOXP1"
187,"ENSG00000205030","OR5L2"
188,"ENSG00000138193","PLCE1"
189,"ENSG00000243073","PRAMEF4"
190,"ENSG00000152942","RAD17"
191,"ENSG00000240809","AC026877.1"
192,"ENSG00000280004","AC005086.3"
193,"ENSG00000224560","AC108043.1"
194,"ENSG00000227233","CICP17"
195,"ENSG00000118363","SPCS2"
196,"ENSG00000258116","PPIAP45"
197,"ENSG00000273311","DGCR11"
198,"ENSG00000136169","SETDB2"
199,"ENSG00000279700","AC131212.2"
200,"ENSG00000121644","DESI2"
201,"ENSG00000135903","PAX3"
202,"ENSG00000138495","COX17"
203,"ENSG00000204528","PSORS1C3"
204,"ENSG00000169992","NLGN2"
205,"ENSG00000239344","AC090686.1"
206,"ENSG00000253309","SERPINE3"
207,"ENSG00000101323","HAO1"
208,"ENSG00000272456","AC087045.2"
209,"ENSG00000251538","LINC02201"
210,"ENSG00000263711","AC079062.1"
211,"ENSG00000262662","AC127496.4"
212,"ENSG00000127564","PKMYT1"
213,"ENSG00000219395","HSPA8P15"
214,"ENSG00000255349","OR4A7P"
215,"ENSG00000254843","XIAPP2"
216,"ENSG00000277998","AC107075.1"
217,"ENSG00000275248","AL355810.1"
218,"ENSG00000226086","EIF3LP3"
219,"ENSG00000235023","AP001626.1"
220,"ENSG00000176973","FAM89B"
221,"ENSG00000255521","AL356215.1"
222,"ENSG00000211682","IGLJ6"
223,"ENSG00000231630","AL592464.1"
224,"ENSG00000249514","TMEM251P1"
225,"ENSG00000272374","Z97832.2"
226,"ENSG00000159479","MED8"
227,"ENSG00000112511","PHF1"
228,"ENSG00000196381","ZNF781"
229,"ENSG00000211950","IGHV1-24"
230,"ENSG00000202534","RNU6-1329P"
231,"ENSG00000231062","AC103563.2"
232,"ENSG00000154511","FAM69A"
233,"ENSG00000253946","AC008489.1"
234,"ENSG00000144504","ANKMY1"
235,"ENSG00000142507","PSMB6"
236,"ENSG00000259677","AC027176.2"
237,"ENSG00000164116","GUCY1A3"
238,"ENSG00000273305","AC009237.15"
239,"ENSG00000138669","PRKG2"
240,"ENSG00000250927","MESTP3"
241,"ENSG00000174013","FBXO45"
242,"ENSG00000235110","AC107421.1"
243,"ENSG00000277670","AC098657.3"
244,"ENSG00000227863","AC002383.1"
245,"ENSG00000196704","AMZ2"
246,"ENSG00000251332","AC021106.2"
247,"ENSG00000259235","AC066612.1"
248,"ENSG00000258507","AC116612.1"
249,"ENSG00000178821","TMEM52"
250,"ENSG00000244019","RPS2P24"
251,"ENSG00000222054","RNA5SP177"
252,"ENSG00000106069","CHN2"
253,"ENSG00000243911","RN7SL430P"
254,"ENSG00000232301","LNCPRESS1"
255,"ENSG00000267871","AC005261.1"
256,"ENSG00000227851","AC021035.1"
257,"ENSG00000225715","AL512504.1"
258,"ENSG00000271934","OR2AS2P"
259,"ENSG00000271919","AC005828.7"
260,"ENSG00000176928","GCNT4"
261,"ENSG00000233714","AC012506.3"
262,"ENSG00000129455","KLK8"
263,"ENSG00000253049","SNORA43"
264,"ENSG00000240250","RN7SL541P"
265,"ENSG00000277889","MIR8081"
266,"ENSG00000216902","AL122016.1"
268,"ENSG00000237666","AC097527.1"
269,"ENSG00000161896","IP6K3"
270,"ENSG00000254672","AL136146.1"
271,"ENSG00000143033","MTF2"
272,"ENSG00000256150","ITFG2-AS1"
273,"ENSG00000106410","NOBOX"
274,"ENSG00000259956","RBM15B"
275,"ENSG00000150773","PIH1D2"
276,"ENSG00000227958","AL390778.1"
277,"ENSG00000267083","KRT18P61"
279,"ENSG00000259847","LINC02126"
280,"ENSG00000226668","AL136981.1"
281,"ENSG00000268140","PCGF7P"
282,"ENSG00000278987","AL031009.1"
283,"ENSG00000250006","AC008638.2"
284,"ENSG00000236313","VN1R53P"
285,"ENSG00000273085","AC113331.2"
286,"ENSG00000260729","AC009690.1"
287,"ENSG00000205362","MT1A"
288,"ENSG00000245667","AC006064.1"
289,"ENSG00000203818","HIST2H3PS2"
290,"ENSG00000258517","AC004817.1"
291,"ENSG00000254768","AC104009.1"
292,"ENSG00000202050","RNU6-391P"
294,"ENSG00000230533","AL357060.1"
295,"ENSG00000196296","ATP2A1"
296,"ENSG00000270457","AC093424.1"
297,"ENSG00000230481","IGKV1OR22-5"
298,"ENSG00000252861","RNU6-448P"
299,"ENSG00000231952","DPY19L1P2"
301,"ENSG00000205331","OR6C72P"
302,"ENSG00000279123","AC027281.2"
303,"ENSG00000206791","RNU1-129P"
304,"ENSG00000109805","NCAPG"
305,"ENSG00000211978","IGHV5-78"
307,"ENSG00000203780","FANK1"
308,"ENSG00000111641","NOP2"
309,"ENSG00000221923","ZNF880"
310,"ENSG00000163975","MELTF"
311,"ENSG00000239893","ZNF736P9Y"
312,"ENSG00000127329","PTPRB"
313,"ENSG00000257815","LINC01481"
314,"ENSG00000262358","AC116914.1"
315,"ENSG00000250594","AC108145.1"
316,"ENSG00000077044","DGKD"
318,"ENSG00000143183","TMCO1"
319,"ENSG00000229941","AC012499.1"
320,"ENSG00000279455","AC117500.6"
321,"ENSG00000108774","RAB5C"
322,"ENSG00000125522","NPBWR2"
323,"ENSG00000183696","UPP1"
325,"ENSG00000228318","AP001610.1"
328,"ENSG00000279874","AC064859.1"
329,"ENSG00000269680","AC008760.1"
330,"ENSG00000279859","AC093323.2"
331,"ENSG00000222129","RNA5SP36"
332,"ENSG00000225758","RPS17P17"
333,"ENSG00000269113","TRABD2B"
334,"ENSG00000231302","RPL36P2"
335,"ENSG00000268442","AC073534.1"
336,"ENSG00000244031","RPS3AP17"
338,"ENSG00000268957","SIGLEC26P"
339,"ENSG00000231392","AC244157.1"
340,"ENSG00000166126","AMN"
341,"ENSG00000276289","KCNE1B"
342,"ENSG00000129451","KLK10"
343,"ENSG00000260000","AL133338.1"
344,"ENSG00000254312","MRPL57P7"
345,"ENSG00000259981","AF096876.1"
346,"ENSG00000117139","KDM5B"
347,"ENSG00000244025","KRTAP19-3"
348,"ENSG00000001460","STPG1"
349,"ENSG00000241057","AC004951.3"
350,"ENSG00000135723","FHOD1"
351,"ENSG00000080031","PTPRH"
352,"ENSG00000168300","PCMTD1"
353,"ENSG00000234206","AL121957.1"
354,"ENSG00000196772","OR14A16"
355,"ENSG00000255531","NDUFS5P6"
356,"ENSG00000200693","U3"
357,"ENSG00000268947","AC002128.1"
358,"ENSG00000231982","AC112907.2"
359,"ENSG00000145451","GLRA3"
360,"ENSG00000250420","AACSP1"
361,"ENSG00000227097","RPS28P7"
362,"ENSG00000236764","COX7A2P2"
363,"ENSG00000106125","MINDY4"
364,"ENSG00000076984","MAP2K7"
365,"ENSG00000234595","AC013733.2"
366,"ENSG00000232360","AP000281.2"
367,"ENSG00000271824","SMIM32"
368,"ENSG00000218018","AL109955.1"
369,"ENSG00000133624","ZNF767P"
370,"ENSG00000253801","AC010376.1"
371,"ENSG00000209082","MT-TL1"
372,"ENSG00000125843","AP5S1"
373,"ENSG00000155974","GRIP1"
374,"ENSG00000243664","RPS29P12"
375,"ENSG00000105053","VRK3"
376,"ENSG00000235976","Z80107.2"
377,"ENSG00000267717","SRSF10P1"
378,"ENSG00000232002","LINC01880"
379,"ENSG00000221539","SNORD99"
380,"ENSG00000279064","FP236315.1"
381,"ENSG00000254920","AC027369.4"
382,"ENSG00000231378","NDUFAF4P4"
383,"ENSG00000257323","AC123904.2"
384,"ENSG00000257364","VENTXP3"
385,"ENSG00000260286","C6orf229"
386,"ENSG00000117394","SLC2A1"
387,"ENSG00000226235","LEMD1-AS1"
388,"ENSG00000261654","AL360270.2"
389,"ENSG00000125084","WNT1"
391,"ENSG00000263834","MIR4635"
392,"ENSG00000251615","AC104825.2"
393,"ENSG00000254227","AC024681.2"
394,"ENSG00000259443","AC012414.4"
395,"ENSG00000241537","AC134050.1"
396,"ENSG00000030304","MUSK"
397,"ENSG00000172288","CDY1"
